sample_ID	population	sample_time	longitude	latitude
CXD-10	CXD	2005.2	121.78	31.36N
CXD-3	CXD	2005.2	121.78	31.36N
CXD-5	CXD	2005.2	121.78	31.36N
CXD-7	CXD	2005.2	121.78	31.36N
CXD-9	CXD	2005.2	121.78	31.36N
D10	DH	2006.3	121.91	30.85N
D20	DH	2006.3	121.91	30.85N
D22	DH	2006.3	121.91	30.85N
JJ0030	DH	2006.3	121.91	30.85N
JJC44	DH	2006.3	121.91	30.85N
108	LCG07	2007.5	121.85	30.84N
JJ-109	LCG07	2007.5	121.85	30.84N
JJ-35	LCG07	2007.5	121.85	30.84N
JJ-71	LCG07	2007.5	121.85	30.84N
JJ-92	LCG07	2007.5	121.85	30.84N
JJ-103	JDS	2008.1	121.91	31.18N
JJ-107	JDS	2008.1	121.91	31.18N
JJ-52	JDS	2008.1	121.91	31.18N
JJ-97	JDS	2008.1	121.91	31.18N
JJC-73	JDS	2008.1	121.91	31.18N
LCG09-2	LCG09	2009.3	121.85	30.84N
LCG09-3	LCG09	2009.3	121.85	30.84N
LCG09-4	LCG09	2009.3	121.85	30.84N
LCG09-5	LCG09	2009.3	121.85	30.84N
117	LCG09	2009.3	121.85	30.84N
XH-13	XH	2009.1	113.09	22.20N
XHDC-2	XH	2009.1	113.09	22.20N
XHDC-5	XH	2009.1	113.09	22.20N
XHDC-6	XH	2009.1	113.09	22.20N
XHDC-7	XH	2009.1	113.09	22.20N
FQ-6	FQ	2009.1	119.51	25.66N
FQ-10	FQ	2009.1	119.51	25.66N
FQ-14	FQ	2009.1	119.51	25.66N
FQ-26	FQ	2009.1	119.51	25.66N
FQ-27	FQ	2009.1	119.51	25.66N
CX-29	CX	2009.2	121.13	30.45N
26	CX	2009.2	121.13	30.45N
27	CX	2009.2	121.13	30.45N
28	CX	2009.2	121.13	30.45N
31	CX	2009.2	121.13	30.45N
DF-5	DF	2009.2	120.81	33.28N
DFDC-11	DF	2009.2	120.81	33.28N
DFDC-13	DF	2009.2	120.81	33.28N
DFDC-14	DF	2009.2	120.81	33.28N
DFDC-19	DF	2009.2	120.81	33.28N
Q-6	Q	2001.1	139.86	35.40N
Q-14	Q	2001.1	139.86	35.40N
Q-19	Q	2001.1	139.86	35.40N
Q-20	Q	2001.1	139.86	35.40N
Q-30	Q	2001.1	139.86	35.40N
H-22	H	2001.1	134	34.27N
H-25	H	2001.1	134	34.27N
H-26	H	2001.1	134	34.27N
HDC-3	H	2001.1	134	34.27N
HDC-4	H	2001.1	134	34.27N
HM2	HM	2014.7	121.94	31.00N
HM3	HM	2014.7	121.94	31.00N
HM4	HM	2014.7	121.94	31.00N
HM5	HM	2014.7	121.94	31.00N
HM6	HM	2014.7	121.94	31.00N
